Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
12.920829,79.879759,72,21.595946,281.512915
12.920856,79.879623,73,15.04226,286.999524
12.920974,79.879227,72.7,44.87914,294.168023
12.921208,79.878692,72.8,63.553468,299.824811
12.921983,79.877305,72,173.271395,295.136979
12.922117,79.877012,72,35.076993,289.169967
12.922404,79.876165,72,97.185924,275.279344
12.922462,79.875521,72,70.093261,271.130355
12.922467,79.875261,72,28.183961,263.575127
12.92244,79.875015,72,26.829683,263.992929
12.922432,79.874937,74,8.500219,264.068432
12.922416,79.874779,74,17.216021,258.450898
12.922368,79.874538,74,26.659043,254.558475
12.922284,79.874226,74,35.080509,252.324176
12.922161,79.87383,73,45.044611,243.673812
12.922025,79.873548,72.8,34.099537,237.653925
12.921646,79.872934,71.9,78.766887,233.847398
12.921082,79.872142,70.6,106.305775,235.519946
12.920671,79.871528,70.2,80.726863,240.362338
12.920305,79.870868,70.4,82.297587,246.985828
12.918988,79.867687,71.5,374.570365,249.282696
12.918379,79.866035,71,191.422549,251.292783
12.91801,79.864917,72,127.928067,252.440046
12.917568,79.863484,73,162.900688,250.839605
12.916976,79.861736,77,200.560593,249.294201
12.91671,79.861014,78,83.654667,249.065079
12.916666,79.860896,80,13.692902,247.606815
12.916466,79.860398,78.7,58.37597,239.589129
12.91574,79.859129,79.7,159.477659,237.345926
12.915299,79.858423,79.9,90.882101,235.032502
12.914875,79.857801,80.6,82.264191,239.152479
12.914347,79.856894,82,114.50056,240.68826
12.91393,79.856132,81.7,94.713731,244.671637
12.913757,79.855757,81,44.965992,245.142966
12.912228,79.852371,74.7,404.454369,246.123086
12.911866,79.851532,74.5,99.444371,254.041297
12.911769,79.851184,74.6,39.229316,256.557489
12.911704,79.850905,74.4,31.090749,261.105475
12.911596,79.850197,74.5,77.669502,265.259762
12.911475,79.8487,70.3,162.807003,261.988057
12.911288,79.847337,70.3,149.183026,258.303645
12.910034,79.841123,64,687.780383,257.785753
12.909589,79.839014,64,233.876775,254.34491
12.909132,79.837341,66,188.313084,252.983771
12.908638,79.835685,68,187.70241,253.527244
12.908261,79.834377,70,147.835428,249.073737
12.907892,79.833387,68,114.878517,250.352132
12.907639,79.83266,65,83.667411,250.123379
12.907294,79.831681,64.3,112.83093,251.975914
12.907124,79.831145,63,61.092607,253.473763
12.907006,79.830737,63,46.126786,251.56712
12.906878,79.830343,63,45.013315,249.939959
12.906773,79.830048,63,34.038746,253.053231
12.906514,79.829176,63,98.802722,251.754854
12.906041,79.827704,60.9,167.989584,247.045287
12.905816,79.827159,61.3,64.150194,242.95596
12.905505,79.826534,60,76.057672,248.682168
12.905249,79.825861,60.3,78.301462,254.480587
12.905069,79.825196,61,74.804266,256.47206
12.904891,79.824437,61.2,84.612762,257.908993
12.904635,79.823211,61.6,135.89655,258.820041
12.90442,79.822095,61.9,123.299274,259.753576
12.904266,79.821221,61.9,96.265189,260.946499
12.904031,79.819708,62.8,166.057934,261.931012
12.903866,79.818514,65,130.707906,259.53749
12.903767,79.817964,63.3,60.62066,254.578259
12.903646,79.817514,63.7,50.595839,247.404445
12.903474,79.81709,63.8,49.776964,240.993355
12.902913,79.816052,64,128.642409,240.240314
12.902461,79.815241,62,101.25642,244.635667
12.901156,79.812417,66,338.741684,244.933309
12.900644,79.811294,63.7,134.376156,243.762674
12.900288,79.810553,63.3,89.541162,241.621709
12.899862,79.809744,63.3,99.662971,237.764329
12.899385,79.808968,63.7,99.436737,236.822966
12.897387,79.805833,63,405.983393,236.032755
12.896773,79.804898,63.2,122.19652,231.968184
12.896176,79.804115,64,107.747694,231.580179
12.896009,79.803899,64,29.88249,233.966459
12.895658,79.803404,65.5,66.34728,236.527571
12.895464,79.803103,65.6,39.112244,240.077949
12.895179,79.802595,65.7,63.530762,244.991863
12.89424,79.80053,65.5,246.982574,245.687091
12.892932,79.79756,67.3,353.25273,244.175717
12.892356,79.796339,67.2,147.029627,239.388116
12.892217,79.796098,67.3,30.352469,232.910073
12.891892,79.795657,67.8,59.92413,227.073752
12.891756,79.795507,67.9,22.204483,221.782743
12.891588,79.795353,68.3,25.052066,217.999457
12.89118,79.795026,68.7,57.571767,214.976466
12.890507,79.794543,71,91.329353,215.179056
12.88968,79.793945,71,112.506887,220.844822
12.889291,79.7936,71,57.178765,228.111587
12.889138,79.793425,73,25.480419,230.24556
12.888019,79.792045,71.6,194.569189,231.703032
12.887046,79.790781,72,174.577667,230.596993
12.885277,79.788572,70.1,309.8799,231.669361
12.884161,79.787124,68,200.086063,236.298356
12.883399,79.785952,69,152.703344,238.408495
12.881881,79.78342,69.5,322.209505,240.838457
12.878232,79.776712,71.7,832.675438,242.173166
12.877967,79.776197,72.2,63.124559,246.575004
12.877763,79.775714,72.5,57.059027,250.994298
12.877534,79.775032,73,78.190027,254.298454
12.877383,79.774481,72.3,62.042612,255.923365
12.877174,79.773626,72,95.549855,255.757379
12.87664,79.771468,75.8,241.342442,253.590607
12.876342,79.77043,77,117.295616,255.738617
12.876314,79.770317,77,12.638554,254.660298
12.876053,79.769341,77,109.705628,256.00085
12.875686,79.767831,78.6,168.692819,253.708907
12.875384,79.766771,78.8,119.709574,256.636281
12.875211,79.766024,78.2,83.227832,261.712912
12.87507,79.765031,76.9,108.776305,265.272654
12.875023,79.764448,76.5,63.412517,267.048014
12.874504,79.754128,78.2,1120.169623,266.083844
12.874441,79.753184,78.4,102.568679,263.89559
12.874006,79.749012,76.7,454.822713,263.368286
12.87373,79.746577,77.3,265.731696,264.334823
12.873636,79.745605,77,105.881867,264.072969
12.873203,79.741327,76,466.227975,266.96289
12.873191,79.741095,76,25.184197,268.030608
12.873093,79.738172,76,317.040892,266.676975
12.872837,79.73365,75,491.011543,266.209841
12.872806,79.73317,76,52.146182,267.117073
12.872749,79.732009,75.7,126.012224,263.41142
12.872665,79.731263,75.9,81.404268,260.585422
12.872445,79.729902,76,149.547295,259.952917
12.87197,79.727152,77,302.744404,259.165127
12.871369,79.723931,78,355.496702,259.21435
12.87133,79.723721,78,23.173571,259.414877
12.871058,79.722228,80.5,164.644472,262.632603
12.871028,79.72199,81,26.014213,262.098913
12.871005,79.72182,81,18.604796,264.016932
12.870911,79.7209,81.3,100.275227,266.120098
12.87079,79.71907,84,198.829791,268.918482
12.870781,79.718581,84,53.017605,272.440146
12.870795,79.718244,84,36.564339,276.192808
12.870892,79.717327,85,99.987281,278.764762
12.871016,79.716502,89,90.487549,278.686203
12.871037,79.716361,89,15.461889,278.172412
12.871205,79.715161,86,131.415708,272.936191
12.871266,79.713941,85.7,132.422986,269.216473
12.871259,79.713416,86,56.915814,266.556125
12.871099,79.710689,87.5,296.144349,267.16604
12.871031,79.70928,86.8,152.924086,273.659861
12.871058,79.708847,86,47.033565,277.845427
12.871076,79.708713,85.8,14.662983,290.523678
12.871253,79.708228,85,56.137661,295.560679
12.871405,79.707902,85,39.172548,292.726911
12.871846,79.706822,84.8,126.92783,291.124641
12.872017,79.706368,84.6,52.75938,289.255956
12.872363,79.705352,84.5,116.661527,283.49403
12.872596,79.704356,84.5,111.031878,282.363307
12.872899,79.702938,85,157.360785,279.476023
12.87305,79.70201,84.3,101.987007,274.17284
12.8731,79.701307,85.1,76.407851,272.321804
12.873163,79.699713,86,172.931752,274.48875
12.873178,79.699517,86,21.311791,275.333435
12.873262,79.698594,86.3,100.488318,278.173086
12.873627,79.695987,85,285.498349,279.469116
12.8738,79.694923,87,116.930677,277.58006
12.873999,79.693389,88.6,167.751114,274.992086
12.874038,79.692931,88.6,49.836121,272.221997
12.874113,79.690948,90,215.11836,272.527927
12.874147,79.690158,89,85.719173,272.349425
12.8743,79.686332,88,415.085879,273.757123
12.874366,79.685301,89,112.000696,273.693413
12.874412,79.68457,89.7,79.405011,271.739295
12.874449,79.68332,90.6,135.561905,270.780622
12.874472,79.681588,91.5,187.765446,268.541309
12.874447,79.680581,91.6,109.193742,267.633267
12.874376,79.678819,90,191.163146,267.446407
12.874153,79.673691,92.1,556.426135,263.553121
12.874076,79.672992,92.6,76.253603,261.12253
12.873801,79.671186,92.2,198.143748,259.782238
12.873691,79.67056,92.1,68.95186,253.170779
12.873622,79.670326,92.1,26.500547,246.773223
12.873499,79.670032,92,34.680398,258.806593
12.873036,79.667632,91.7,265.205275,261.503321
12.872864,79.666451,91.6,129.441382,262.642844
12.87272,79.665307,92.5,125.039376,264.69908
12.872684,79.664909,94,43.328635,263.801878
12.872502,79.66319,93,187.435945,278.911886
12.872598,79.662562,93,68.907292,263.737271
12.872272,79.659515,97,332.279325,262.344203
12.872169,79.658729,97,85.969134,259.113189
12.871944,79.657529,97,132.464844,256.059299
12.87174,79.656686,97,94.155099,253.713424
12.871327,79.655236,97,163.75254,254.598053
12.87094,79.653795,99,162.02485,253.217727
12.870145,79.651091,95.5,306.15701,255.976426
12.869855,79.6499,95,133.072314,255.463369
12.869583,79.648824,94.3,120.497636,258.779415
12.869501,79.6484,94,46.857996,263.989849
12.869466,79.648059,95,37.16929,270.378767
12.869471,79.647283,97.7,84.121566,275.730307
12.869507,79.646915,96.9,40.092169,283.673164
12.869798,79.645688,97.3,136.888144,281.846239
12.870017,79.644617,99,118.624439,284.093341
12.870483,79.642713,98,212.801276,284.586038
12.870707,79.64183,98.7,98.905921,287.059752
12.871098,79.640523,98.7,148.201064,284.162514
12.871513,79.638836,96,188.604718,286.701362
12.87163,79.638436,96.6,45.269996,287.925259
12.871893,79.637602,97,95.018463,291.640379
12.872238,79.63671,96.1,104.025293,288.187993
12.872369,79.636301,95.5,46.667409,285.910485
12.872506,79.635808,95.3,55.570228,280.697513
12.872599,79.635303,95.2,55.71038,277.306775
12.872639,79.634983,95.2,34.972103,272.746253
12.872727,79.633101,98.1,204.243941,276.256818
12.8728,79.632418,98,74.481041,282.296939
12.872885,79.632018,98,44.378267,285.305405
12.873028,79.631482,98,60.239019,287.960041
12.873265,79.630732,98,85.464589,289.33846
12.873732,79.629367,100.5,156.81341,290.306627
12.874162,79.628175,100.4,137.775324,287.447912
12.874344,79.627581,99.6,67.494806,281.386723
12.874451,79.627036,99,60.263937,277.028699
12.874526,79.626412,98,68.153479,274.864691
12.874545,79.626183,98,24.913233,268.440107
12.874527,79.625505,97.3,73.522124,265.350027
12.874365,79.623462,96.4,222.191706,266.164431
12.874218,79.621213,100,244.338118,265.573125
12.87421,79.621107,100,11.524746,266.494166
12.87414,79.619935,99.3,127.282639,267.775037
12.87408,79.618351,99,171.834701,270.00004
12.87408,79.617992,99.5,38.915499,273.823224
12.8741,79.617685,99.6,33.352937,279.812448
12.874216,79.616997,101,75.686187,286.681835
12.87432,79.616641,101.5,40.285747,292.843627
12.874474,79.616266,102.2,44.109429,297.280052
12.874658,79.6159,102.5,44.639107,300.820393
12.874854,79.615563,102.7,42.537896,309.637939
12.875089,79.615272,103.1,40.961641,313.207286
12.875632,79.614679,103.8,88.190782,314.376471
12.876769,79.613487,109,180.775489,308.767664
12.876888,79.613335,109,21.13217,306.816941
12.877212,79.612891,106.2,60.119443,299.068025
12.877529,79.612306,107.1,72.551266,292.474774
12.877627,79.612063,106.8,28.505836,287.137741
12.877976,79.610902,106.9,131.697607,285.306781
12.87848,79.609013,107,212.294365,287.011209
12.878871,79.607702,107.5,148.61143,290.096168
12.879085,79.607102,107.5,69.254966,291.879644
12.879278,79.606609,107,57.588098,294.2467
12.879541,79.60601,107,71.211927,295.279895
12.879756,79.605543,106.3,55.982864,297.727954
12.880169,79.604737,106.8,98.702366,296.188751
12.880682,79.603667,107.6,129.253118,301.564979
12.8809,79.603303,109,46.307799,297.153614
12.880932,79.603239,109,7.796696,300.865676
12.881965,79.601466,107.4,223.896591,297.308722
12.882418,79.600566,107.1,109.793243,292.255358
12.88286,79.599458,107.2,129.769876,298.114855
12.88306,79.599074,107.2,47.192492,302.814068
12.88317,79.598899,107.2,22.570805,307.324761
12.883419,79.598564,108,45.664017,311.324483
12.883563,79.598396,108,24.248867,317.234025
12.883895,79.598081,108,50.286155,323.234025
12.884062,79.597953,108,23.18045,327.918823
12.884471,79.59769,108,53.675121,330.953265
12.884722,79.597547,108,31.925378,330.222671
12.887085,79.59616,107,302.725243,330.245147
12.887999,79.595624,105,117.06667,330.096997
12.888238,79.595483,105,30.65693,329.907876
12.889143,79.594945,105.8,116.307331,324.760397
12.889321,79.594816,105.7,24.233598,319.932314
12.889496,79.594665,106,25.427296,315.447036
12.889797,79.594361,106.8,46.968268,308.550202
12.890058,79.594025,107.3,46.569151,301.916297
12.890313,79.593605,107.3,53.633114,297.113794
12.890598,79.593034,109,69.533696,296.570777
12.892452,79.589231,110,460.89218,295.101449
12.893142,79.58772,109.1,180.860308,293.128976
12.893371,79.58717,109.4,64.825756,291.108536
12.893949,79.585634,110,178.463695,290.248586
12.894054,79.585342,110.6,33.735022,285.206335
12.89424,79.58464,110.9,78.851258,282.435692
12.89491,79.581523,110.5,345.970884,284.888066
12.895342,79.579856,111,186.963427,285.696092
12.895863,79.577954,110,214.14371,285.41867
12.895995,79.577463,109,55.206554,282.662759
12.896154,79.576737,110,80.652964,278.412169
12.896329,79.575523,112,133.016657,278.18435
12.896652,79.573219,111,252.300083,278.07008
12.896669,79.573096,111,13.465309,278.30962
12.897205,79.569331,110,412.417004,276.851169
12.897231,79.569109,110,24.23557,278.497349
12.897486,79.567358,112.3,191.896677,280.440617
12.897886,79.565131,114.4,245.447032,275.493684
12.897943,79.564523,115,66.204844,271.074755
12.898,79.561405,113.6,338.017509,272.836961
12.898166,79.557968,113,372.991135,273.668708
12.898194,79.55752,113,48.658113,273.177961
12.898413,79.553473,116,439.326653,270.886887
12.898441,79.551617,114.3,201.194412,270.195251
12.898445,79.550412,114.6,130.609712,268.824871
12.898394,79.547862,116,276.450591,268.538602
12.898315,79.544686,120,344.3562,268.50578
12.898278,79.543231,116,157.759997,269.235648
12.898254,79.541386,117.2,199.995973,268.101677
12.898214,79.540148,117.2,134.259604,266.791153
12.89813,79.538611,118,166.855977,267.982498
12.897992,79.534593,118,435.778617,267.824077
12.897984,79.534377,118,23.428998,273.379109
12.898024,79.533682,119,75.461801,278.263402
12.898118,79.533018,119,72.725557,277.999528
12.898138,79.532872,119.5,15.98034,282.552995
12.898464,79.53137,120.3,166.787515,277.4241
12.898527,79.530874,120.5,54.215506,272.14514
12.898545,79.530381,120.7,53.473314,267.643384
12.898504,79.529359,120.7,110.867475,266.498429
12.898364,79.527012,120,254.865274,265.798941
12.898276,79.525783,120.7,133.569268,259.451527
12.898056,79.524571,120.9,133.626113,264.739042
12.897978,79.523702,120.6,94.588831,267.296339
12.897732,79.518359,121,579.770366,268.103657
12.897678,79.516686,122,181.435009,269.155813
12.89766,79.515433,119,135.826803,267.998388
12.897643,79.514934,120,54.119392,268.033112
12.897502,79.510723,122.5,456.697601,267.464385
12.897429,79.509032,125.5,183.466465,263.454266
12.897345,79.508281,125,81.934745,263.469989
12.897213,79.507098,124.3,129.062325,259.747295
12.897146,79.506718,124,41.856451,260.87783
12.896616,79.503332,125,371.709608,260.318667
12.896391,79.501979,124.3,148.770499,261.914622
12.896269,79.501098,124.3,96.45045,267.540608
12.896209,79.499665,123.7,155.466275,268.868429
12.896194,79.498886,123.7,84.452395,275.651231
12.896243,79.498378,123.8,55.331108,284.828503
12.896387,79.49782,125,62.565319,289.928667
12.896651,79.497073,125,86.124634,292.154001
12.89815,79.493296,124,442.01905,294.570213
12.899573,79.490103,123,380.542258,294.576872
12.90056,79.487889,123.5,263.877861,300.735578
12.90123,79.486733,123,145.772397,300.707816
12.901318,79.486581,123,19.16178,300.747476
12.901888,79.485598,123.7,123.971961,294.03318
12.902204,79.484871,123.9,86.27713,281.863447
12.902333,79.484241,123.6,69.774477,270.488402
12.902341,79.483278,123.6,104.38094,268.781489
12.902296,79.481108,125,235.254084,267.333044
12.902253,79.480161,125,102.75428,264.858766
12.902004,79.477322,127,308.955464,263.94203
12.901986,79.477148,127,18.965359,264.374678
12.901634,79.473482,130,399.272469,264.486952
12.90133,79.470251,127,351.828819,265.724554
12.900766,79.462513,130,841.048131,265.117437
12.900537,79.459763,133,299.153288,266.263211
12.900496,79.459119,136,69.950772,266.126168
12.900124,79.453484,138,612.167548,266.887452
12.900072,79.452503,142,106.486176,270.904237
12.900074,79.452373,143,14.092256,272.007571
12.900137,79.450529,142,199.991037,272.491047
12.900267,79.447463,140,332.633115,272.933682
12.900454,79.443719,140,406.338335,272.825615
12.900468,79.443428,140,31.579389,272.360946
12.900511,79.442358,146,116.073988,272.645963
12.900561,79.441248,144,120.43937,273.837541
12.900727,79.438709,144.4,275.816027,276.04515
12.900839,79.437624,143.1,118.258739,278.032403
12.900902,79.437166,142,50.133604,278.069206
12.901122,79.435574,143,174.279213,280.582212
12.901588,79.433015,140,282.163328,279.921534
12.902413,79.428176,141,532.44987,281.666612
12.902731,79.426596,141,174.864518,282.833225
12.903017,79.425308,141,143.179218,282.842802
12.903155,79.424687,141,69.035429,286.446804
12.903742,79.422647,141.5,230.542329,287.333342
12.904052,79.421628,142.8,115.700323,281.137317
12.904213,79.420789,145.6,92.681892,276.11753
12.904386,79.419133,148,180.516178,276.786629
12.904415,79.418883,148.3,27.287849,287.736618
12.904733,79.417863,149,116.071402,291.634062
12.904808,79.417669,149,22.620403,290.802888
12.905105,79.416867,148,92.98789,291.34212
12.90604,79.414412,145,285.678014,292.153647
12.906798,79.412502,148,223.517362,291.652439
12.906887,79.412272,150,26.821194,291.509506
12.907633,79.41033,150.7,226.240141,288.773508
12.908017,79.409171,152,132.676898,285.737485
12.908738,79.406546,153,295.590216,285.16088
12.909103,79.405164,158.3,155.188754,287.63069
12.909309,79.404499,158.4,75.628026,292.870633
12.909545,79.403925,158,67.520789,296.175488
12.910164,79.402633,155.9,156.033975,293.734464
12.910311,79.40229,153,40.610535,291.388203
12.910424,79.401994,153,34.454509,293.227882
12.910529,79.401743,153,29.603961,296.104275
12.91103,79.400694,151,126.609338,303.001592
12.911099,79.400585,151,14.086622,298.36779
12.911849,79.39916,153,175.523942,299.495121
12.91332,79.396492,153,332.221851,299.66229
12.914423,79.394505,157,247.83208,298.625742
12.915845,79.391832,160,330.046389,296.576158
12.916061,79.391389,160,53.685394,277.941244
12.916123,79.390933,160,49.900501,293.659787
12.916243,79.390652,155,33.250039,290.053486
12.916787,79.389123,150.4,176.410115,283.797465
12.916877,79.388747,150.4,41.962149,278.56311
12.916936,79.388345,150.2,44.06039,273.429549
12.916961,79.387917,150.2,46.470354,267.632545
12.916934,79.387247,150.2,72.677409,259.580949
12.916846,79.386756,150.3,54.107322,254.623774
12.916794,79.386562,151,21.806509,255.61431
12.916778,79.386498,151,7.160928,339.865632
12.916996,79.386416,151,25.818305,336.521133
12.917548,79.38617,151,66.920124,341.429834
12.917783,79.386089,151,27.566053,335.102162
12.91793,79.386019,151,18.02048,321.807356
12.91807,79.385906,151,19.807321,8.863905
12.91817,79.385922,151,11.253896,291.834471
12.918541,79.384972,151,110.918482,289.903607
12.919028,79.383592,152,159.0663,276.100166
12.919038,79.383496,153,10.463753,290.948245
12.919513,79.382223,155,147.732342,290.468469
12.919903,79.381151,156.6,124.012796,292.826864
12.920015,79.380878,157,32.101866,293.756374
12.920302,79.380209,160,79.218461,297.460482
12.920651,79.37952,161,84.155368,298.151304
12.920893,79.379056,161,57.035033,298.998074
12.921081,79.378708,161,43.121958,298.308682
12.92127,79.378348,161,44.316555,298.024512
12.921491,79.377922,163,52.30213,296.896558
12.921712,79.377475,166,54.321719,297.650337
12.921904,79.377099,166,46.004379,299.008202
12.922071,79.37679,166,38.292925,300.520798
12.922252,79.376475,165,39.630322,298.994843
12.922817,79.375429,167,129.608749,298.494743
12.923199,79.374707,165.3,89.034834,295.041576
12.923301,79.374483,165.6,26.795515,289.438519
12.923398,79.374201,166,32.410099,284.325409
12.923624,79.373293,168.4,101.565524,282.58531
12.923943,79.371827,167,162.793821,287.255932
12.924042,79.3715,167.8,37.109978,294.14425
12.924087,79.371397,167.7,12.23311,314.461674
12.924153,79.371328,168,10.477628,301.746696
12.924744,79.370348,169,124.896979,286.87649
12.924888,79.369861,171,55.155329,278.533407
12.924925,79.369608,172,27.726501,278.695658
12.924973,79.369286,171.7,35.30341,274.160595
12.925059,79.368073,171,131.809437,274.151754
12.925111,79.367338,173,79.867131,274.149025
12.925215,79.365867,175,159.842305,274.001708
12.925302,79.364591,178,138.627702,274.037798
12.925345,79.363966,176,67.904494,274.336388
12.925394,79.363303,175,72.06056,274.312296
12.925455,79.362473,173.7,90.208671,272.156289
12.925471,79.362037,173,47.286052,272.103376
12.925519,79.360696,170,145.432124,272.098558
12.925526,79.3605,170,21.256232,266.17649
12.925452,79.359364,170,123.391442,262.658136
12.925425,79.359149,169,23.493774,266.087083
12.925421,79.359089,169,6.517842,266.748354
12.925387,79.358475,169,66.651084,268.64585
12.925367,79.357607,168.3,94.097948,273.405585
12.925396,79.357107,169,54.284607,274.715799
12.925412,79.356908,169,21.640376,272.894605
12.925436,79.356421,170,52.847254,273.610468
12.925547,79.354616,164.5,196.010277,269.356454
12.925541,79.354068,165,59.394574,257.224799
12.925501,79.353887,165.4,20.114242,267.930844
12.925453,79.352524,166,147.814858,271.551177
12.925462,79.352183,169,36.970261,275.38961
12.925478,79.352009,169.3,18.941416,291.657635
12.925663,79.351531,169.4,55.739256,295.742432
12.926015,79.350782,172,90.118268,294.070043
12.926143,79.350488,172,34.89729,294.174128
12.926199,79.35036,172,15.205739,294.350943
12.92642,79.349859,169,59.599002,291.651389
12.926615,79.349355,169,58.76833,289.268404
12.926815,79.348768,170,67.392334,293.04128
12.926929,79.348493,170,32.387391,292.145849
12.927096,79.348072,169,49.260707,294.687285
12.927221,79.347793,169,33.278745,290.694956
12.928133,79.345316,165,286.964426,290.460255
12.928205,79.345118,165,22.903362,291.371019
12.928578,79.34414,164,113.817921,290.765639
12.928697,79.343818,164,37.321554,291.468208
12.929055,79.342884,164,108.769425,289.681797
12.929245,79.342339,165,62.729635,287.624026
12.929615,79.341144,163,135.886923,287.429679
12.930208,79.339206,164,220.139141,286.472573
12.930291,79.338918,165,32.548018,287.341851
12.930403,79.33855,165,41.781356,289.722174
12.93049,79.338301,164,28.667052,290.733207
12.930528,79.338198,164,11.935614,300.754811
12.931344,79.336791,166.7,177.437711,298.118532
12.931832,79.335854,167,115.136082,294.726017
12.931889,79.335727,169,15.152818,301.086666
12.931946,79.33563,169,12.275218,295.970848
12.932087,79.335333,169,35.802717,299.292077
12.932163,79.335194,169,17.272588,295.952376
12.9322,79.335116,169,9.401254,287.210027
12.932232,79.33501,169,12.026151,289.33474
12.932839,79.333235,175,203.862042,288.142652
12.932999,79.332734,175,57.13603,288.71004
12.933236,79.332016,175,82.154099,289.906781
12.93338,79.331608,178,47.026537,290.943142
12.933474,79.331356,178,29.242105,318.222045
12.933534,79.331301,178,8.946502,292.016503
12.933681,79.330928,178,43.603182,302.41324
12.933819,79.330705,181,28.627395,304.416026
12.934026,79.330395,181,40.724453,302.293109
12.934188,79.330132,178,33.717491,302.12352
12.934229,79.330065,178,8.573625,302.819389
12.934251,79.33003,178,4.513509,275.328901
12.934263,79.329898,180,14.367416,301.54115
12.934531,79.32945,181,56.967439,300.047228
12.934836,79.328909,179,67.732351,305.867311
12.934972,79.328716,178.5,25.810304,28.506879
12.935103,79.328789,178.4,16.576243,108.694457
12.935072,79.328883,178,10.754481,342.002333
12.935153,79.328856,178,9.470173,67.230139
12.93518,79.328922,178,7.757175,2.225131
12.935481,79.328934,178,33.494929,278.678318
12.935517,79.328692,178,26.530029,308.052105
12.935591,79.328595,179.3,13.349647,279.685059
12.935674,79.328096,182,54.860038,196.69314
12.935531,79.328052,182,16.600469,292.54638
12.935881,79.327187,178,101.50031,289.475404
12.935952,79.326981,178,23.679656,286.338845
12.936236,79.325987,178,112.256025,284.742652
12.936365,79.325484,177,56.367166,145.99102
12.936326,79.325511,177,5.23144,163.254015
12.936177,79.325557,177,17.301785,164.439447
12.936058,79.325591,177,13.735642,308.533946
12.936221,79.325381,177,29.093767,301.357098
12.936338,79.325184,177,25.001067,301.815405
12.936572,79.324797,175.6,49.355881,309.68258
12.936834,79.324473,176.6,45.624977,314.398832
12.937587,79.323684,177.5,119.674207,318.679976
12.937832,79.323463,177.7,36.273708,326.058617
12.938446,79.323039,178.2,82.296243,352.073661
12.938642,79.323011,179,22.004432,337.330229
12.939132,79.322801,179,59.047436,313.88821
12.939222,79.322705,181.8,14.435621,334.823304
12.939533,79.322555,181.8,38.211736,343.205484
12.939843,79.322459,183,36.006196,348.935635
12.940466,79.322334,183.5,70.586489,352.697799
12.941006,79.322263,184,60.536237,353.151323
12.941785,79.322167,186.2,87.24337,349.832402
12.942198,79.322091,186,46.656214,345.846904
12.942484,79.322017,187,32.797284,342.382003
12.942751,79.32193,187.7,31.150123,337.392326
12.943081,79.321789,188,39.748668,338.835278
12.943592,79.321586,190,60.930612,338.611839
12.94402,79.321414,190,51.111417,336.349106
12.944494,79.321201,188,57.539319,333.392435
12.945173,79.320852,186,84.444462,332.878917
12.94531,79.32078,185,17.115656,333.340678
12.945409,79.320729,185,12.317802,332.360887
12.945476,79.320693,185,8.409718,333.19886
12.946294,79.320269,186,101.904377,334.020515
12.946668,79.320082,185,46.261601,347.825251
12.946799,79.320053,185,14.901691,328.982295
12.947188,79.319813,185,50.471913,333.272544
12.948057,79.319364,186,108.187637,333.253659
12.94832,79.319228,186,32.74806,321.69496
12.948853,79.318796,186.7,75.526042,313.048535
12.949117,79.318506,187,43.004277,312.95019
12.949381,79.318215,188.3,43.083509,300.438213
12.949448,79.318098,189,14.705748,300.538381
12.949939,79.317244,186.8,107.449726,291.520253
12.950389,79.316073,185.3,136.406494,288.352512
12.950754,79.314944,184,128.902047,283.549555
12.950882,79.314399,185,60.750524,283.541774
12.951147,79.31327,186,125.844082,283.545146
12.951282,79.312695,186,64.093298,283.522562
12.951537,79.311607,181,121.264037,283.321892
12.951558,79.311516,181,10.134014,283.553929
12.951753,79.310686,184,92.520526,283.585434
12.951883,79.310134,184,61.539858,283.530987
12.951955,79.309827,181,34.218119,283.632946
12.951968,79.309772,181,6.132918,283.300595
12.952244,79.308574,180.5,133.400522,293.316523
12.952441,79.308105,183,55.34329,293.321288
12.952562,79.307817,183.3,33.985994,302.404664
12.952815,79.307408,183,52.495964,302.436243
12.95302,79.307077,183.3,42.499348,307.180051
12.953567,79.306337,184,100.647943,313.949164
12.954901,79.304917,193,213.7323,313.923525
12.955222,79.304575,193,51.454114,313.955152
12.95558,79.304194,193,57.352105,314.028089
12.955775,79.303987,194,31.198098,313.9088
12.956063,79.30368,194,46.176758,313.985674
12.95657,79.303141,193,81.177302,314.789089
12.956659,79.303049,193,14.047357,313.741345
12.958071,79.301535,188,227.085377,311.021176
12.958472,79.301062,190,67.936366,311.014323
12.959901,79.299376,188,242.131377,311.013201
12.960657,79.298484,190,128.100151,310.999831
12.961056,79.298013,187,67.626496,311.021516
12.961457,79.29754,187,67.935903,311.108857
12.961565,79.297413,189,18.264953,311.01614
12.961743,79.297203,189,30.159321,310.98593
12.962091,79.296792,189,58.998968,311.030852
12.962331,79.296509,189,40.65226,300.678213
12.962368,79.296445,189,8.063671,300.054074
12.96273,79.295803,186,80.373953,297.52369
12.96286,79.295547,186,31.280837,297.432732
12.964246,79.292807,186.3,334.524534,291.333754
12.964611,79.291848,186.3,111.56223,295.332966
12.964784,79.291473,187.3,44.958502,307.770529
12.965043,79.29113,188,47.019568,310.713159
12.965282,79.290845,187.4,40.743101,320.157722
12.965602,79.290571,187,46.342646,323.355122
12.966164,79.290142,187,77.885673,327.022344
12.968172,79.288805,194,266.163243,328.091001
12.968557,79.288559,194,50.430711,323.177135
12.969485,79.287846,195,128.90693,318.77523
