Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
13.076297,80.201383,14,17.444464,280.987105
13.076363,80.201034,13.9,38.506561,275.603226
13.076391,80.200741,13.7,31.88765,267.457293
13.076374,80.200348,13.6,42.608398,260.33007
13.076334,80.200107,13.5,26.479317,256.206955
13.07618,80.199463,13.2,71.823874,255.794747
13.075874,80.198222,12.6,138.654591,253.437352
13.075666,80.197504,12.3,81.134305,254.279768
13.075459,80.196749,12,84.953113,255.055026
13.07542,80.196599,13,16.815604,255.088631
13.075199,80.195747,13.4,95.497781,244.777952
13.075004,80.195322,13.2,50.883772,236.793135
13.074909,80.195173,12,19.288329,239.112786
13.074835,80.195046,11.5,16.028879,228.590231
13.074451,80.194599,11,64.554344,227.241088
13.074324,80.194458,11,20.800472,242.702659
13.074138,80.194088,9,45.097802,260.245085
13.074068,80.19367,9.7,45.938865,271.788695
13.074084,80.193144,12,57.000188,272.177562
13.074108,80.192496,13.3,70.237262,270.000097
13.074108,80.191638,15,92.93218,269.497326
13.074104,80.19117,15,50.692232,248.388477
13.074011,80.190929,14.3,28.077089,240.752515
13.073933,80.190786,13,17.751745,225.187076
13.073393,80.190228,12.5,85.195352,232.059905
13.07309,80.189829,12.4,54.798289,239.68317
13.072824,80.189362,12.7,58.595295,242.447295
13.072422,80.188571,14,96.635692,247.283813
13.071993,80.187519,13,123.52798,248.200488
13.071476,80.186192,14,154.80238,256.299135
13.071239,80.185194,15,111.263128,256.63565
13.071021,80.184252,14,104.871648,251.965954
13.070799,80.183552,14,79.737077,248.590766
13.070668,80.183209,14,39.905314,243.084496
13.070262,80.182388,14,99.729155,242.195326
13.070018,80.181913,14,58.164866,233.081655
13.069554,80.181279,16,85.893793,238.579183
13.069288,80.180832,14,56.736407,233.702572
13.068775,80.180115,16,96.359972,234.666642
13.068563,80.179808,13,40.760803,234.456875
13.068016,80.179022,13,104.630769,239.348787
13.067818,80.178679,13,43.185786,243.385894
13.067695,80.178427,13,30.53035,246.878181
13.067648,80.178314,15,13.308701,252.287487
13.067578,80.178089,15,25.583769,258.887339
13.067525,80.177812,15,30.576691,266.755148
13.067497,80.177305,16,55.004126,266.668753
13.067453,80.176529,18,84.195083,264.769596
13.067439,80.176372,18,17.076636,251.663983
13.067316,80.175991,18,43.475568,242.376982
13.067133,80.175632,17.3,43.88775,235.642731
13.066836,80.175186,17,58.518233,233.762767
13.066287,80.174417,16,103.26983,233.284267
13.066117,80.174183,16,31.618758,234.877697
13.065636,80.173481,13,92.964457,235.273192
13.065451,80.173207,15,36.110832,236.052978
13.065411,80.173146,15,7.964879,236.063833
13.064513,80.171776,16,178.861187,233.704309
13.064425,80.171653,15,16.530295,241.961054
13.064356,80.17152,15.3,16.321866,249.488477
13.064231,80.171177,15.4,39.66755,260.893275
13.064184,80.170876,15.4,33.019597,264.252909
13.064149,80.170519,15.4,38.864494,271.4244
